fixture,phase,deadline_ms,recall,precision,silent_miss,wall_ms,undecided,true_pairs
galen,per_pair,5,1.000000,1.000000,0,473,0,27997
galen,per_pair,25,1.000000,1.000000,0,480,0,27997
galen,per_pair,100,1.000000,1.000000,0,472,0,27997
alehif,per_pair,5,1.000000,1.000000,0,245,0,247
alehif,per_pair,25,1.000000,1.000000,0,297,0,247
alehif,per_pair,100,1.000000,1.000000,0,306,0,247
sio,per_pair,5,1.000000,1.000000,0,6453,7916,8904
sio,per_pair,25,1.000000,1.000000,0,16232,5756,8904
sio,per_pair,100,1.000000,1.000000,0,24603,620,8904
wine,per_pair,5,1.000000,1.000000,0,13590,8250,653
wine,per_pair,25,1.000000,1.000000,0,54002,8240,653
wine,per_pair,100,1.000000,1.000000,0,205000,8152,653
ore-10908,per_pair,5,1.000000,1.000000,0,602,649,6001
ore-10908,per_pair,25,1.000000,1.000000,0,1042,59,6001
ore-10908,per_pair,100,1.000000,1.000000,0,843,0,6001
ore-15672,per_pair,5,1.000000,1.000000,0,1763,125,142
ore-15672,per_pair,25,1.000000,1.000000,0,4555,105,142
ore-15672,per_pair,100,1.000000,1.000000,0,14963,105,142
galen,global,100,1.000000,1.000000,0,473,0,27997
galen,global,1000,1.000000,1.000000,0,467,0,27997
galen,global,10000,1.000000,1.000000,0,467,0,27997
galen,global,30000,1.000000,1.000000,0,469,0,27997
alehif,global,100,1.000000,1.000000,0,854,14554,247
alehif,global,1000,1.000000,1.000000,0,283,0,247
alehif,global,10000,1.000000,1.000000,0,291,0,247
alehif,global,30000,1.000000,1.000000,0,286,0,247
sio,global,100,0.999551,1.000000,0,3090,1193164,8904
sio,global,1000,0.999551,1.000000,0,3472,1193164,8904
sio,global,10000,1.000000,1.000000,0,11429,47169,8904
sio,global,30000,1.000000,1.000000,0,20876,4,8904
wine,global,100,0.967841,1.000000,0,373,15783,653
wine,global,1000,0.967841,1.000000,0,1273,15783,653
wine,global,10000,0.967841,1.000000,0,10274,15783,653
wine,global,30000,0.967841,1.000000,0,30274,15783,653
ore-10908,global,100,1.000000,1.000000,0,262,213583,6001
ore-10908,global,1000,1.000000,1.000000,0,868,0,6001
ore-10908,global,10000,1.000000,1.000000,0,863,0,6001
ore-10908,global,30000,1.000000,1.000000,0,899,0,6001
ore-15672,global,100,1.000000,1.000000,0,133,4334,142
ore-15672,global,1000,1.000000,1.000000,0,1035,4334,142
ore-15672,global,10000,1.000000,1.000000,0,10038,4334,142
ore-15672,global,30000,1.000000,1.000000,0,30037,4334,142
