file,individuals,class_assertions,opa,chain_rules,transitive_roles,functional_roles,convert_ms,precheck_ms,clash,timed_out,edges,type_adds,edge_adds
ore_ont_10413,2,0,1,0,0,0,1,0,false,false,1,0,1
ore_ont_11866,2,0,1,0,0,0,1,0,false,false,1,0,1
ore_ont_12101,1,1,0,0,0,0,1,0,false,false,0,1,0
ore_ont_13852,1,1,0,0,0,0,87,1,false,false,0,1,0
ore_ont_15461,1,1,0,0,0,0,1,0,false,false,0,1,0
ore_ont_2128,1,1,0,0,0,0,89,1,false,false,0,1,0
ore_ont_2557,2,0,1,0,0,0,1,0,false,false,1,0,1
ore_ont_2654,1,1,0,0,0,0,2,0,false,false,0,1,0
ore_ont_3260,1,1,0,0,0,0,2,0,false,false,0,1,0
ore_ont_3592,1,1,0,0,0,0,3,0,false,false,0,1,0
ore_ont_4856,1,1,0,0,0,0,0,0,false,false,0,1,0
ore_ont_7464,1,1,0,0,0,0,1,0,false,false,0,1,0
ore_ont_8119,1,1,0,0,0,0,4,0,false,false,0,1,0
ore_ont_8347,1,1,0,0,0,0,88,1,false,false,0,1,0
ore_ont_12698,2,2,0,2,10,2,171,3,false,false,0,6,0
ore_ont_7532,2,2,0,2,36,25,22,0,false,false,0,0,0
ore_ont_16777,4,0,3,0,0,0,3,0,false,false,3,0,3
ore_ont_2485,3,3,0,0,0,0,1,0,false,false,0,1,0
ore_ont_3978,3,3,0,0,2,0,7,0,false,false,0,3,0
ore_ont_10362,2,4,0,0,9,0,2,0,false,false,0,10,0
ore_ont_2036,5,5,0,0,0,0,1,0,false,false,0,18,0
ore_ont_3250,3,3,2,0,0,0,2,0,false,false,2,3,2
ore_ont_508,5,5,0,0,0,0,1,0,false,false,0,18,0
ore_ont_9509,5,5,0,0,0,0,0,0,false,false,0,5,0
ore_ont_9635,3,5,1,0,0,6,2,0,false,false,2,7,2
ore_ont_10536,10,0,7,0,0,0,1,0,false,false,7,0,7
ore_ont_14273,10,0,7,0,0,0,1,0,false,false,7,0,7
ore_ont_1526,8,8,0,0,0,0,1,0,false,false,0,8,0
ore_ont_178,8,8,0,0,0,1,2,0,false,false,0,12,0
ore_ont_6696,8,8,0,0,0,0,9,0,false,false,0,8,0
ore_ont_8462,12,0,8,0,0,0,2,0,false,false,8,0,8
ore_ont_13066,12,0,10,0,0,0,2,0,false,false,10,0,10
ore_ont_11316,11,11,0,0,7,0,17,0,false,false,0,11,0
ore_ont_13503,11,11,0,0,0,0,1,0,false,false,0,11,0
ore_ont_778,10,10,2,0,3,0,3,0,false,false,2,64,2
ore_ont_11484,13,13,0,0,4,2,25,0,false,false,0,26,0
ore_ont_11895,13,26,0,0,0,2,1,0,false,false,0,26,0
ore_ont_12253,15,16,0,0,4,0,2,0,false,false,0,56,0
ore_ont_10833,18,0,15,0,0,0,1,0,false,false,15,0,15
ore_ont_8369,21,0,15,0,0,0,3,0,false,false,15,0,15
ore_ont_10006,18,18,0,33,22,2,363,7,false,false,0,90,0
ore_ont_10908,18,18,0,7,18,4,10,0,false,false,0,90,0
ore_ont_1938,18,18,0,33,22,2,2009,37,false,false,0,90,0
ore_ont_5292,18,18,0,0,0,0,1,0,false,false,0,21,0
ore_ont_5359,18,18,0,0,4,1,4,0,false,false,0,144,0
ore_ont_7455,18,18,0,55,0,0,385,7,false,false,0,107,0
ore_ont_15803,19,19,0,0,1,0,10272,278,false,false,0,152,0
ore_ont_11526,19,0,21,0,0,0,3,0,false,false,21,0,21
ore_ont_580,21,21,0,0,0,0,1,0,false,false,0,21,0
ore_ont_13299,22,22,0,0,16,2,35,0,false,false,0,168,0
ore_ont_5502,22,22,0,0,16,2,22,0,false,false,0,168,0
ore_ont_5107,24,24,0,0,0,2,1,0,false,false,0,24,0
ore_ont_1325,27,27,0,0,0,0,4,0,false,false,0,76,0
ore_ont_1034,28,0,28,0,0,0,3,0,false,false,28,0,28
ore_ont_2237,31,0,28,0,0,0,3,0,false,false,28,0,28
ore_ont_1853,16,32,0,0,12,20,4,0,false,false,0,39,0
ore_ont_2526,16,32,0,0,12,20,4,0,false,false,0,39,0
ore_ont_394,16,15,17,7,0,0,4,0,false,false,63,184,63
ore_ont_7418,46,0,34,0,0,0,4,0,false,false,34,0,34
ore_ont_6722,18,35,0,55,0,0,817,15,false,false,0,107,0
ore_ont_11889,18,36,0,0,0,0,6,0,false,false,0,18,0
ore_ont_13887,18,36,0,0,0,0,8,0,false,false,0,18,0
ore_ont_3770,36,0,36,0,0,0,2,0,false,false,36,0,36
ore_ont_11196,39,39,0,30,35,0,328,7,false,false,0,103,0
ore_ont_11553,39,39,0,30,36,0,201,4,false,false,0,103,0
ore_ont_15695,39,39,0,41,36,0,847,15,false,false,0,103,0
ore_ont_7517,41,41,0,0,0,3,1,0,false,false,0,131,0
ore_ont_13772,40,0,44,0,0,0,2,0,false,false,44,0,44
ore_ont_5966,44,44,0,0,0,0,3,0,false,false,0,44,0
ore_ont_15672,16,31,17,0,7,0,3,0,false,false,63,23,63
ore_ont_3262,12,27,24,0,12,0,5,0,false,false,152,126,152
ore_ont_2837,24,19,34,0,0,1,1,0,false,false,67,33,67
ore_ont_6417,46,0,53,0,0,0,4,0,false,false,53,0,53
ore_ont_14588,47,84,8,0,0,19,1,0,false,false,8,165,8
ore_ont_12342,49,54,2,0,15,7,7,0,false,false,4,375,4
ore_ont_7339,57,76,0,0,0,0,7,0,false,false,0,57,0
ore_ont_13737,58,58,0,0,2,2,3,0,false,false,0,28,0
ore_ont_5164,58,0,58,0,0,0,6,0,false,false,58,0,58
ore_ont_13077,24,78,28,0,0,2,3,0,false,false,40,81,40
ore_ont_10888,47,47,14,0,7,0,3,0,false,false,14,55,14
ore_ont_11523,47,47,14,0,7,0,1,0,false,false,14,55,14
ore_ont_14848,47,47,14,0,7,0,1,0,false,false,14,55,14
ore_ont_16289,47,47,14,0,7,0,1,0,false,false,14,55,14
ore_ont_16359,47,47,14,0,7,0,3,0,false,false,14,55,14
ore_ont_16855,47,47,14,0,7,0,3,0,false,false,14,55,14
ore_ont_1902,47,47,14,0,7,0,2,0,false,false,14,55,14
