stem,arm,cr,tse,tdp,ms
ore_ont_10004,off,3076,20568,2,10
ore_ont_10004,eo,3076,20568,2,10
ore_ont_10004,os,3076,20568,2,10
ore_ont_10004,both,3076,20568,2,10
ore_ont_10006,off,60971,213889,5,207
ore_ont_10006,eo,60971,213889,5,205
ore_ont_10006,os,60971,213889,5,205
ore_ont_10006,both,60971,213889,5,204
ore_ont_10008,off,88446,175540,5,348
ore_ont_10008,eo,88446,175540,5,351
ore_ont_10008,os,88446,175540,5,344
ore_ont_10008,both,88446,175540,5,347
ore_ont_10009,off,381,356,144,4
ore_ont_10009,eo,381,356,144,2
ore_ont_10009,os,381,356,144,2
ore_ont_10009,both,381,356,144,3
ore_ont_10016,off,257159,182829,2,1311
ore_ont_10016,eo,257159,182829,2,1325
ore_ont_10016,os,257159,182829,2,1315
ore_ont_10016,both,257159,182829,2,1313
ore_ont_10019,off,182,114,55,0
ore_ont_10019,eo,182,114,55,0
ore_ont_10019,os,182,114,55,0
ore_ont_10019,both,182,114,55,0
ore_ont_10026,off,368,2118,0,2
ore_ont_10026,eo,368,2118,0,2
ore_ont_10026,os,368,2118,0,2
ore_ont_10026,both,368,2118,0,2
ore_ont_10032,off,121712,920806,2,723
ore_ont_10032,eo,121712,920806,2,723
ore_ont_10032,os,121712,920806,2,722
ore_ont_10032,both,121712,920806,2,729
ore_ont_10053,off,12165,50575,2,29
ore_ont_10053,eo,12165,50575,2,29
ore_ont_10053,os,12165,50575,2,29
ore_ont_10053,both,12165,50575,2,29
ore_ont_10056,off,467,1497,0,2
ore_ont_10056,eo,467,1497,0,2
ore_ont_10056,os,467,1497,0,1
ore_ont_10056,both,467,1497,0,1
ore_ont_10058,off,4589,25860,63,18
ore_ont_10058,eo,4589,25860,63,18
ore_ont_10058,os,4589,25860,63,18
ore_ont_10058,both,4589,25860,63,18
ore_ont_10068,off,30111,351429,0,443
ore_ont_10068,eo,30111,351429,0,439
ore_ont_10068,os,30111,351429,0,438
ore_ont_10068,both,30111,351429,0,442
ore_ont_10073,off,25555,247253,2,1168
ore_ont_10073,eo,25555,247253,2,1167
ore_ont_10073,os,25555,247253,2,1174
ore_ont_10073,both,25555,247253,2,1164
ore_ont_10080,off,28407,34175,22263,182
ore_ont_10080,eo,28407,34175,22263,203
ore_ont_10080,os,28407,34175,22263,204
ore_ont_10080,both,28407,34175,22263,196
ore_ont_10088,off,173,229,0,0
ore_ont_10088,eo,173,229,0,0
ore_ont_10088,os,173,229,0,0
ore_ont_10088,both,173,229,0,0
ore_ont_10109,off,344,622,42,1
ore_ont_10109,eo,344,622,42,2
ore_ont_10109,os,344,622,42,2
ore_ont_10109,both,344,622,42,1
ore_ont_10123,off,2817,13659,7,25
ore_ont_10123,eo,2817,13659,7,26
ore_ont_10123,os,2817,13659,7,25
ore_ont_10123,both,2817,13659,7,25
ore_ont_10125,off,143254,1184538,66,3018
ore_ont_10125,eo,143254,1184538,66,3003
ore_ont_10125,os,143254,1184538,66,3002
ore_ont_10125,both,143254,1184538,66,2997
ore_ont_10127,off,699,1697,0,140
ore_ont_10127,eo,699,1697,0,139
ore_ont_10127,os,699,1697,0,150
ore_ont_10127,both,699,1697,0,139
ore_ont_1012,off,262266,37962,0,2349
ore_ont_1012,eo,262266,37962,0,2354
ore_ont_1012,os,262266,37962,0,2332
ore_ont_1012,both,262266,37962,0,2339
ore_ont_10133,off,951,1619,0,3
ore_ont_10133,eo,951,1619,0,3
ore_ont_10133,os,951,1619,0,3
ore_ont_10133,both,951,1619,0,3
ore_ont_10134,off,1850,8332,2,5
ore_ont_10134,eo,1850,8332,2,6
ore_ont_10134,os,1850,8332,2,6
ore_ont_10134,both,1850,8332,2,5
ore_ont_10136,off,57653,362854,4,606
ore_ont_10136,eo,57653,362854,4,611
ore_ont_10136,os,57653,362854,4,615
ore_ont_10136,both,57653,362854,4,610
ore_ont_10140,off,204130,455318,693,1064
ore_ont_10140,eo,204130,455318,693,1061
ore_ont_10140,os,204130,455318,693,1060
ore_ont_10140,both,204130,455318,693,1062
ore_ont_10146,off,2956,11104,60,8
ore_ont_10146,eo,2956,11104,60,8
ore_ont_10146,os,2956,11104,60,8
ore_ont_10146,both,2956,11104,60,8
ore_ont_10160,off,2502,8370,36,6
ore_ont_10160,eo,2502,8370,36,5
ore_ont_10160,os,2502,8370,36,5
ore_ont_10160,both,2502,8370,36,6
ore_ont_10161,off,678472,37376,2,1972
ore_ont_10161,eo,678472,37376,2,1971
ore_ont_10161,os,678472,37376,2,2009
ore_ont_10161,both,678472,37376,2,1983
ore_ont_10162,off,1007,6058,0,2
ore_ont_10162,eo,1007,6058,0,4
ore_ont_10162,os,1007,6058,0,4
ore_ont_10162,both,1007,6058,0,4
ore_ont_1016,off,6207,19126,0,17
ore_ont_1016,eo,6207,19126,0,18
ore_ont_1016,os,6207,19126,0,17
ore_ont_1016,both,6207,19126,0,17
ore_ont_10173,off,4014,20570,58,50
ore_ont_10173,eo,4014,20570,58,47
ore_ont_10173,os,4014,20570,58,47
ore_ont_10173,both,4014,20570,58,50
ore_ont_10174,off,133,570,0,0
ore_ont_10174,eo,133,570,0,0
ore_ont_10174,os,133,570,0,0
ore_ont_10174,both,133,570,0,0
ore_ont_10175,off,98983,545763,0,461
ore_ont_10175,eo,98983,545763,0,460
ore_ont_10175,os,98983,545763,0,461
ore_ont_10175,both,98983,545763,0,472
ore_ont_10176,off,208,171,0,0
ore_ont_10176,eo,208,171,0,0
ore_ont_10176,os,208,171,0,0
ore_ont_10176,both,208,171,0,0
ore_ont_1017,off,1687,3036,0,4
ore_ont_1017,eo,1687,3036,0,3
ore_ont_1017,os,1687,3036,0,4
ore_ont_1017,both,1687,3036,0,3
ore_ont_10197,off,2239,4306,6,123
ore_ont_10197,eo,2239,4306,6,121
ore_ont_10197,os,2239,4306,6,123
ore_ont_10197,both,2239,4306,6,120
ore_ont_10199,off,48,36,0,0
ore_ont_10199,eo,48,36,0,0
ore_ont_10199,os,48,36,0,0
ore_ont_10199,both,48,36,0,0
ore_ont_10212,off,202,531,0,9
ore_ont_10212,eo,202,531,0,9
ore_ont_10212,os,202,531,0,9
ore_ont_10212,both,202,531,0,9
ore_ont_10230,off,8872,673,8438,17
ore_ont_10230,eo,8872,673,8438,17
ore_ont_10230,os,8872,673,8438,17
ore_ont_10230,both,8872,673,8438,15
ore_ont_10242,off,4432,22435,59,17
ore_ont_10242,eo,4432,22435,59,17
ore_ont_10242,os,4432,22435,59,17
ore_ont_10242,both,4432,22435,59,18
ore_ont_10248,off,118044,1109467,0,570
ore_ont_10248,eo,118044,1109467,0,568
ore_ont_10248,os,118044,1109467,0,573
ore_ont_10248,both,118044,1109467,0,573
ore_ont_10254,off,5393,18112,1,12
ore_ont_10254,eo,5393,18112,1,16
ore_ont_10254,os,5393,18112,1,12
ore_ont_10254,both,5393,18112,1,12
ore_ont_10264,off,0,63,0,0
ore_ont_10264,eo,0,63,0,0
ore_ont_10264,os,0,63,0,0
ore_ont_10264,both,0,63,0,0
ore_ont_10270,off,4243,21662,58,49
ore_ont_10270,eo,4243,21662,58,56
ore_ont_10270,os,4243,21662,58,50
ore_ont_10270,both,4243,21662,58,52
ore_ont_10275,off,2603,10448,21,17
ore_ont_10275,eo,2603,10448,21,17
ore_ont_10275,os,2603,10448,21,17
ore_ont_10275,both,2603,10448,21,17
ore_ont_10280,off,8572,20166,0,32
ore_ont_10280,eo,8572,20166,0,32
ore_ont_10280,os,8572,20166,0,32
ore_ont_10280,both,8572,20166,0,32
ore_ont_10283,off,1459,5288,0,5
ore_ont_10283,eo,1459,5288,0,4
ore_ont_10283,os,1459,5288,0,5
ore_ont_10283,both,1459,5288,0,5
ore_ont_10285,off,155,335,7,0
ore_ont_10285,eo,155,335,7,1
ore_ont_10285,os,155,335,7,0
ore_ont_10285,both,155,335,7,0
ore_ont_1028,off,25918,87186,261,67
